ANTHROPIC_API_KEY	외부
AgentTaskCard	future
AppCommandPolicy	설계어휘
AppContainer	설계어휘
AppShell	설계어휘
ArgvSafeSettings	역사
Artifact	문서어휘
AuthSpec	역사
AuthView	역사
BackendAdapter	설계어휘
Binding	설계어휘
CLAUDE_AUTOCOMPACT_PCT_OVERRIDE	외부
CLAUDE_CODE_SIMPLE	외부
CLAUDE_CODE_SKIP_PROMPT_HISTORY	외부
CLAUDE_CODE_SYNC_PLUGIN_INSTALL	외부
CSP	문서어휘
CachedSession	역사
CameraPane	역사
CapabilityBuilder	역사
CapabilityProbe	설계어휘
ChatEvent	역사
ChatPane	역사
ClaudeEngine	설계어휘
ClaudeSDKClient	외부
ConfigManager	설계어휘
ConnectionRegistry	역사
Connector	역사
ConnectorRuntime	역사
ContextInjectionCard	future
Credential	문서어휘
CredentialPresentation	역사
Delta	문서어휘
DiffCard	설계어휘
DirectBackendAPI	설계어휘
DirectBackendCapabilities	설계어휘
EngineSettings	future
ErrorCode	역사
ExclusivePlugin	설계어휘
ExtensionDeployer	설계어휘
FilePreviewCard	설계어휘
Frontend	문서어휘
HOME	외부
HTTPS_PROXY	외부
HookOutput	외부
InflightTurn	역사
LOAD_SESSION_FROM_CACHE	역사
Location	외부
MODULE_NOT_FOUND	외부
Main	문서어휘
McpServerConfig	외부
Migrations	문서어휘
ModelProvider	문서어휘
ModelProviderConfig	설계어휘
NODE_ENV	외부
OQ10	문서어휘
OQ9	문서어휘
ORCA_SUBAGENT_BACKGROUND	역사
OpenCodeEngine	설계어휘
OrcaCapabilities	역사
P0	문서어휘
P1	문서어휘
Pane	역사
PendingApprovalStateMachine	설계어휘
PermissionBridge	설계어휘
PlanApprovalCard	역사
PluginHost	역사
Preload	문서어휘
Principal	문서어휘
ProviderApi	역사
ProviderPlatformV2	설계어휘
ProviderSettingsLoader	설계어휘
ProviderSummariesRequest	역사
ProviderUsageEntry	역사
PythonRuntime	역사
Query	외부
Redaction	설계어휘
Reducer	문서어휘
Refs	문서어휘
Renderer	문서어휘
RevertManager	설계어휘
Router	문서어휘
RuntimeStatus	역사
SDKAssistantMessage	외부
SDKBackgroundTasksChangedMessage	외부
SDKPartialAssistantMessage	외부
SDKPermissionDeniedMessage	외부
SDKResultMessage	외부
SDKSystemMessage	외부
SDKUserMessageReplay	외부
SEND	역사
SEND_USER_MESSAGE	설계어휘
Screen	문서어휘
SearchCard	future
SessionCapability	설계어휘
SessionGraphCard	future
Slot	문서어휘
SmartScreen	외부
StandardConformance	설계어휘
StructuredOutputError	외부
StructuredOutputState	설계어휘
SubprocessEnv	역사
TBD	문서어휘
TeammateIdle	외부
Telemetry	문서어휘
TerminalCard	설계어휘
Tile	문서어휘
Titlebar	문서어휘
TransactionStore	역사
Transcript	문서어휘
UseChat	역사
WorkspaceManager	설계어휘
WorktreeCreate	외부
acceptedMethods	역사
allowDowngrade	외부
apiKeyHelper	외부
aria-disabled	외부
askRespond	역사
atomFamily	외부
authToken	역사
baseURL	외부
buildAppend	역사
continueConversation	외부
data-platform	외부
detectError	설계어휘
disallowedTools	외부
envKey	역사
excludeDynamicSections	외부
feat-pretty-ui	외부
filterEscalatingDefaultMode	외부
followRedirect	외부
getCredentialKeys	설계어휘
lastTurnLatencyMs	역사
mcpSpecVersion	설계어휘
mergePolicy	설계어휘
migrate-sources	설계어휘
noReply	future
optionalDependencies	외부
orca-mcp	역사
outputFormat	외부
parentBindingId	역사
pendingApprovals	future
pendingDelta	역사
pendingInputTokens	역사
pendingReasoning	역사
planRespond	역사
postSessionByIdPermissionsByPermissionId	외부
resolveSettings	외부
selectFileRenderer	설계어휘
sessionCache	역사
setProviderEnv	역사
skill-creator	외부
splitProviderSettings	역사
stream-json	외부
supportedBackends	설계어휘
toOpencodeConfig	future
useContextSelector	설계어휘
useOverlay	설계어휘
utilityProcess	외부
validateCrossReferences	역사
vendorExtensions	설계어휘
will-navigate	외부
