ABSENT	ANTHROPIC_API_KEY	docs/arch/backend/security.md:176	참
ABSENT	ANTHROPIC_API_KEY	docs/claude-code-spec.md:76	참
ABSENT	ArgvSafeSettings	docs/TRD.md:385	참
ABSENT	ArgvSafeSettings	docs/arch/backend/security.md:180	참
ABSENT	Artifact	docs/GLOSSARY.md:26	참
ABSENT	BackendAdapter	docs/GLOSSARY.md:70	참
ABSENT	BackendAdapter	docs/arch/backend/adapters.md:135	참
ABSENT	BackendAdapter	docs/arch/backend/standardization.md:65	참
ABSENT	BackendAdapter	docs/arch/backend/standardization.md:85	참
ABSENT	CLAUDE_CODE_SIMPLE	docs/claude-code-spec.md:64	참
ABSENT	CLAUDE_CODE_SYNC_PLUGIN_INSTALL	docs/claude-code-spec.md:121	참
ABSENT	CachedSession	docs/arch/frontend/rendering.md:144	참
ABSENT	CameraPane	docs/GLOSSARY.md:91	참
ABSENT	CapabilityBuilder	docs/GLOSSARY.md:76	참
ABSENT	CapabilityBuilder	docs/arch/backend/adapters.md:71	참
ABSENT	ClaudeEngine	docs/arch/backend/adapters.md:135	참
ABSENT	ClaudeSDKClient	docs/arch/backend/provider-runtime.md:188	참
ABSENT	ClaudeSDKClient	docs/arch/backend/provider-runtime.md:33	참
ABSENT	ConfigManager	docs/arch/backend/terms.md:59	참
ABSENT	Connector	docs/GLOSSARY.md:42	참
ABSENT	DiffCard	docs/arch/frontend/rendering.md:58	참
ABSENT	DiffCard	docs/arch/frontend/rendering.md:86	참
ABSENT	DirectBackendAPI	docs/arch/backend/terms.md:59	참
ABSENT	FilePreviewCard	docs/arch/frontend/rendering.md:58	참
ABSENT	FilePreviewCard	docs/arch/frontend/rendering.md:85	참
ABSENT	InflightTurn	docs/arch/backend/terms.md:40	참
ABSENT	LOAD_SESSION_FROM_CACHE	docs/arch/frontend/rendering.md:144	참
ABSENT	ModelProviderConfig	docs/arch/backend/provider-runtime.md:523	참
ABSENT	ORCA_SUBAGENT_BACKGROUND	docs/arch/backend/provider-runtime.md:81	참
ABSENT	OpenCodeEngine	docs/arch/backend/adapters.md:135	참
ABSENT	OrcaCapabilities	docs/GLOSSARY.md:76	참
ABSENT	OrcaCapabilities	docs/arch/backend/adapters.md:71	참
ABSENT	OrcaCapabilities	docs/arch/backend/provider-runtime.md:29	참
ABSENT	PlanApprovalCard	docs/arch/frontend/ux-domains.md:79	참
ABSENT	ProviderSettingsLoader	docs/arch/backend/standardization.md:146	참
ABSENT	PythonRuntime	docs/IPC_CONTRACT.md:265	참
ABSENT	SDKPermissionDeniedMessage	docs/arch/backend/adapters.md:103	참
ABSENT	Screen	docs/GLOSSARY.md:67	참
ABSENT	Screen	docs/GLOSSARY.md:91	참
